id,user,text,created_at_in_seconds,created_at,retweeted,favorite_count,hashtags,urls
1090514793771995136,Fearnecotton,RT Laura85307322: Absolutely loved listening to Fearnecotton s latest happyplace with ThisisDavina made my treadmill session fly and ,1548833962,Wed Jan 30 07:39:22 +0000 2019,False,0,happyplace,
1090507618379091968,Fearnecotton,Essentially if you write something honest which depicts the light and shade we all experience in life the bit peop https://t.co/iapC9pxwgg,1548832251,Wed Jan 30 07:10:51 +0000 2019,False,3048,,https://t.co/iapC9pxwgg
1090506755078004737,Fearnecotton,Not surprising how my articles in RED magazine get twisted online and in the press. JesseWood are very happily mar https://t.co/auMxsMIrTi,1548832045,Wed Jan 30 07:07:25 +0000 2019,False,1827,,https://t.co/auMxsMIrTi
1090188301070409729,Fearnecotton,Can t wait to DJ at kemptonparkrace for the Big Day Out on 30th March https://t.co/YIjhmtRezz https://t.co/45lU5uEG9g,1548756120,Tue Jan 29 10:02:00 +0000 2019,False,41,,https://t.co/YIjhmtRezz
1089909159410233344,Fearnecotton,RT NyhafromNorfolk: I highly recommend listening to ThisisDavina and Fearnecotton on happyplace. I love these two ,1548689567,Mon Jan 28 15:32:47 +0000 2019,False,0,happyplace,
1089909114405355520,Fearnecotton,RT julie allport: Just listened to one of my favourite celebrities ThisisDavina on Fearnecotton happyplace always honest and funny. On ,1548689557,Mon Jan 28 15:32:37 +0000 2019,False,0,happyplace,
1089909089256329216,Fearnecotton,RT emmasarfas: What a lovely listen for a Monday Morning HappyPlace https://t.co/T8ERGZ16Uf,1548689551,Mon Jan 28 15:32:31 +0000 2019,False,0,HappyPlace,https://t.co/T8ERGZ16Uf
1089909067370455040,Fearnecotton,RT DevinaDavies: Fearnecotton ThisisDavina Amazing listen on my way into work you are an inspiration ThisisDavina and Fearnecotton i ,1548689545,Mon Jan 28 15:32:25 +0000 2019,False,0,,
1089843105954709511,Fearnecotton,Happy Monday. A brand new episode of Happy Place is now live with my incredible mate ThisisDavina who is beautiful https://t.co/3HEhppVIBk,1548673819,Mon Jan 28 11:10:19 +0000 2019,False,292,,https://t.co/3HEhppVIBk
1088149370435002369,Fearnecotton,RT DaniKing1: Listened to the amazing Fearnecotton podcast this morning amp it was my favourite yet Talking to the inspirational henryfra ,1548270001,Wed Jan 23 19:00:01 +0000 2019,False,0,,
1088149034546671621,Fearnecotton,RT emsypickle: Been listening to Fearnecotton Podcast Happy Place all afternoon and I am OBSESSED ,1548269921,Wed Jan 23 18:58:41 +0000 2019,False,0,,
1088148224358129664,Fearnecotton,RT E Sanderson10: Every single one of Fearnecotton happyplace podcasts open my eyes my mind and my heart ,1548269728,Wed Jan 23 18:55:28 +0000 2019,False,0,happyplace,
1088148180326404097,Fearnecotton,Honey aged 3 just asked me if we can go in a rocket to the moon to meet David Bowie. Oh darling I wish we could. ,1548269717,Wed Jan 23 18:55:17 +0000 2019,False,22443,,
1087650077190049792,Fearnecotton, Why I wanted a tattoo on my mastectomy scar BBC News my amazing mate Kris let me design her tattoo. I love her https://t.co/D8ztxyW3QW,1548150960,Tue Jan 22 09:56:00 +0000 2019,False,385,,https://t.co/D8ztxyW3QW
1087265685330378752,Fearnecotton,Listen here https://t.co/8QAx0oNdqA I am so excited to share this new episode of HappyPlace with you. https://t.co/8QKPs2HhEx,1548059314,Mon Jan 21 08:28:34 +0000 2019,False,117,HappyPlace,https://t.co/8QAx0oNdqA||https://t.co/8QKPs2HhEx
1085917421972668417,Fearnecotton,Listen here https://t.co/sgprdamFoi bryony gordon thank you for being on HappyPlace. A motivating honest and https://t.co/eUWZVW5m00,1547737863,Thu Jan 17 15:11:03 +0000 2019,False,49,HappyPlace,https://t.co/sgprdamFoi||https://t.co/eUWZVW5m00
1085830017161023489,Fearnecotton,RT KirstieNickson: . Fearnecotton s HappyPlaces podcast with KrisPoB has had me in tears on this morning s drive to work. So inspiring ,1547717024,Thu Jan 17 09:23:44 +0000 2019,False,0,HappyPlaces,
1085826394884657152,Fearnecotton,Not an enjoyable run. Can t feel my extremities and had to work extra hard not to pee myself as my post natal pelvi https://t.co/YEM6aHg4X3,1547716160,Thu Jan 17 09:09:20 +0000 2019,False,946,,https://t.co/YEM6aHg4X3
1085451285531410433,Fearnecotton,It also made me so proud of JesseWood and his sobriety. Relentless hard work on his part. ,1547626727,Wed Jan 16 08:18:47 +0000 2019,False,280,,
1098504034036711424,rioferdy5,RT btsportfootball: He comes on and makes a huge impact that s what defines great teams. If you can have players come off the bench and ,1550738745,Thu Feb 21 08:45:45 +0000 2019,False,0,,
1098503764212887555,rioferdy5,Keep up the hard work bencoker24... follow the journey below What it s like for a pro footballer to be sidelined https://t.co/4Ga82AegDn,1550738681,Thu Feb 21 08:44:41 +0000 2019,False,367,,https://t.co/4Ga82AegDn
1097993757381795840,rioferdy5,RT btsportfootball: He was fantastic. he did an admirable job. Every question that was asked from him he answered. Very very good pl ,1550617086,Tue Feb 19 22:58:06 +0000 2019,False,0,,
1097607796953104384,rioferdy5,Massive performance from ManUtd... Away End is bouncing Ole s At The Wheel..... EmiratesFACup MUFC,1550525066,Mon Feb 18 21:24:26 +0000 2019,False,32330,EmiratesFACup||MUFC,
1097603622119063553,rioferdy5,Rashford has been relentless ,1550524070,Mon Feb 18 21:07:50 +0000 2019,False,37854,,
1097590859665555456,rioferdy5,Stop it..... MarcusRashford amp paulpogba 0 2 UNITED,1550521027,Mon Feb 18 20:17:07 +0000 2019,False,21571,,
1097587065494089728,rioferdy5, 0 1 ManUtd,1550520123,Mon Feb 18 20:02:03 +0000 2019,False,14822,,
1097044384254578688,rioferdy5,Shoot day back where it all begun....Peckham. I love the place and what it gave me. The foundation of everything I https://t.co/FhOlm6RT0h,1550390737,Sun Feb 17 08:05:37 +0000 2019,False,802,,https://t.co/FhOlm6RT0h
